REVIEW_INDEX,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME,REVIEWER_NAME,HOME_COUNTRY,ATTRACTION_NAME,ATTRACTION_TYPE,ADDRESS,title_neg,title_neu,title_pos,title_compound,body_neg,body_neu,body_pos,body_compound
507941875,2017-08-02 00:00:00.000,4,"Big, beautiful, animal friendly zoo","Fewer fences than most zoos I've been to, especially many of the monkeys seem to have a large range of movement. The enclosures are big and all animals appear to have water and shade at all times, they also look healthy and cared for. Feeding times are sett so anyone who wishes can observe them._x000D_
_x000D_
One could easily spend an entire day here, or an afternoon if one wanted to catch the night safari (which we didn't, but would have loved to)._x000D_
_x000D_
Only drawback is that it's som distance from the city, for obvious reasons of course, but there is some traveling time._x000D_
_x000D_
Very interesting and beautiful zoo!",2017-07-01 00:00:00.000,Couples,2020-01-26 12:44:46.672,annechansen79,Norway,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",0.0,0.297,0.703,0.7964,0.0,0.822,0.178,0.9693
536802991,2017-10-29 00:00:00.000,5,Outstanding,"Simply amazing experience - the Gardens by the Bay, the Cloud Forest and the Flower Dome were out of this world! Everything was immaculately maintained and beautifully presented. One of the greatest tourists attractions we have ever experienced.",2017-10-01 00:00:00.000,Couples,2020-01-25 17:39:17.718,JohnandAl,Australia,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",0.0,0.0,1.0,0.6124,0.0,0.69,0.31,0.9412
659711223,2019-03-20 00:00:00.000,5,A city get away,"Botanic garden is right in the city center of Singapore. And is very accessible by mrt, botanic gardens station. Itâ€™s a great place to hang out with friends or have a picnic. There are restaurants there but itâ€™s on the more expensive side.",2019-03-01 00:00:00.000,Couples,2020-01-26 10:11:42.712,Joelkho,Singapore,Singapore Botanic Gardens,Leisure & Recreation,"1 Cluny Road, Singapore 259 569, Singapore",0.0,1.0,0.0,0.0,0.0,0.894,0.106,0.5574
676301585,2019-05-25 00:00:00.000,4,Check temples time of opening ahead of your visit,"Little India has more India than Chinatown has China in Singapore (just in case you have time for only one place). Exiting the metro, there is the food court with delicious choices, sometimes very spicy._x000D_
The temples are often closed 12-4pm so you need to time your visit accordingly.",2019-05-01 00:00:00.000,Couples,2020-01-31 09:13:44.625,TravelingCat22,United States,Little India,Precinct & Street,"Serangoon Road, Singapore, Singapore",0.0,1.0,0.0,0.0,0.0,0.928,0.072,0.5719
376930051,2016-05-27 00:00:00.000,4,Good tourist attraction,very nice view and perfect for all ages. good place to take photos and good memories. Will go again only if there is promotions.,2016-03-01 00:00:00.000,Couples,2020-01-25 18:46:59.849,MCM7676,Singapore,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",0.0,0.145,0.855,0.7096,0.0,0.614,0.386,0.9117
571218652,2018-04-05 00:00:00.000,5,A must do!,"I am not a fan of heights, but this was a great experience and opportunity to see the Singapore skyline. We did an early morning trip due to the heat and humidity. I would recommend this.",2018-03-01 00:00:00.000,Friends,2020-01-29 19:24:31.365,Waseemah_A,South Africa,Singapore Cable Car,Leisure & Recreation,"109 Mount Faber Road Faber Peak, Singapore 099203, Singapore",0.0,1.0,0.0,0.0,0.035,0.665,0.299,0.9204
647907272,2019-01-24 00:00:00.000,5,Great Place to visit,One of the many highlights of our visit to Singapore well worth the trip out on the tour bus i think it was the green tour from Suntech tourist hub,2019-01-01 00:00:00.000,Couples,2020-01-25 16:50:37.130,540PeterS,United Kingdom,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",0.0,0.423,0.577,0.6249,0.0,0.871,0.129,0.4588
358410238,2016-03-25 00:00:00.000,4,Sunrise View of Garden by the Bay,This location can be reach from Bayfront MRT station. It about 5 min walk from the station. Climb up the stair or take the elevator and from there you can view the sunrise from there. Excellent view,2016-03-01 00:00:00.000,Solo,2020-01-25 19:41:26.290,jamesongtk,Singapore,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",0.0,1.0,0.0,0.0,0.0,0.876,0.124,0.5859
472041547,2017-04-02 00:00:00.000,5,A MUST place to visit!,"Amazing light show every night at 19.30, child and wheelchair friendly. Everyone should visit this especially after sun set.",2017-03-01 00:00:00.000,Solo,2020-01-29 18:43:32.297,albatrosLondon,United Kingdom,Supertree Grove,Leisure & Recreation,"18 Marina Gardens Drive Gardens By the Bay | Gardens by the Bay, Singapore 018953, Singapore",0.0,1.0,0.0,0.0,0.0,0.708,0.292,0.7906
422906288,2016-09-27 00:00:00.000,4,Lovely river excellant views.,"We actually went on the river on a boat tour, what lovely views, we had a 40 minute trip up to the bay and back from Clarke Quay.",2016-09-01 00:00:00.000,Couples,2020-01-31 16:34:02.678,Sozlovesholisays,United Kingdom,Singapore River,Precinct & Street,"Boat, Clarke, Robertson Quays, Singapore, Singapore",0.0,0.441,0.559,0.5859,0.0,0.868,0.132,0.5859
