REVIEW_INDEX,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME,REVIEWER_NAME,HOME_COUNTRY,ATTRACTION_NAME,ATTRACTION_TYPE,ADDRESS,clean_text
533564403,2017-10-17 00:00:00.000,5,A must visit when in Singapore,"A street with tons of shops and restaurants, a must visit in Singapore, you get everything here from shopping to Food",2017-03-01 00:00:00.000,Solo,2020-01-30 03:18:29.341,Traveller4146,Switzerland,Orchard Road,Precinct & Street,"Singapore, Singapore",street ton shop restaurant must visit singapore get everything shopping food
526655989,2017-09-23 00:00:00.000,5,Shopping galore,This is the high street of Singapore for any luxurious brands: the place to shop at. I felt this place for a peaceful organized chaos.,2017-09-01 00:00:00.000,Solo,2020-01-30 03:18:38.656,NathalieGarino,United Arab Emirates,Orchard Road,Precinct & Street,"Singapore, Singapore",high street singapore luxurious brand place shop felt place peaceful organize chaos
645632097,2019-01-14 00:00:00.000,3,tram ride service could be improved,I had 2 kids with strollers. The tram service personnel did not offer help to keep the strollers onto the tram. people started to rush in to take seats pushing each other. quite poor to ensure passenger safety when boarding the tram.,2018-12-01 00:00:00.000,Family,2020-01-26 11:35:51.436,Venture33296464242,Singapore,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",kid stroller tram service personnel not offer help keep stroller onto tram people start rush take seat push quite poor ensure passenger safety boarding tram
449614667,2017-01-05 00:00:00.000,5,My favorite place on Earth,"I had no clue what to expect when I decided to come here. Huge, giant waterfall, sky walkways, incredible flowers and plants. This place was amazing!",2017-01-01 00:00:00.000,Friends,2020-01-29 13:04:23.667,avertie,United States,Cloud Forest,Leisure & Recreation,"18 Marina Gardens Drive | 18 Marina Gardens Drive, Singapore 018953, Singapore",clue expect decide come huge giant waterfall sky walkway incredible flower plant place amaze
349500388,2016-02-21 00:00:00.000,5,If you love orchids...........,"this really is the place to be. There are orchids in these Gardens that are nowhere to be found in the US and they are beyond beautiful! I took at least 100 photos,n this is really a must see---even more so than the Gardens by the Bay.",2016-01-01 00:00:00.000,Couples,2020-01-29 11:07:13.686,floribel1,United States,National Orchid Garden,Leisure & Recreation,"1 Cluny Rd | Within the Singapore Botanic Gardens, Singapore 259569, Singapore",really place orchid garden nowhere found u beyond beautiful take least photosn really must see even garden bay
588263341,2018-06-18 00:00:00.000,5,Happy,"Hi guys. Im really happy with this view in the middle night and many food street in here. If you want to take relax, you can buy some ice cream and other else.",2018-06-01 00:00:00.000,Family,2020-01-30 01:36:20.130,ferdiank219,Indonesia,Merlion Park,"Art, History & Culture","1 Fullerton Road One Fullerton | Merlion Park, Singapore 049213, Singapore",hi guy im really happy view middle night many food street want take relax buy ice cream else
677978797,2019-06-01 00:00:00.000,3,Worth a visit,"Whilst visiting the gardens we bought a combined ticket for the flower dome and cloud forest._x000D_
It did feel slightly like a Disney attraction, as there is a set route that everyone walks and although we went fairly early, can imagine in busy times it could get very crowded.",2019-06-01 00:00:00.000,Couples,2020-01-29 12:04:16.370,luv2holidayinthesun,United Kingdom,Cloud Forest,Leisure & Recreation,"18 Marina Gardens Drive | 18 Marina Gardens Drive, Singapore 018953, Singapore",whilst visit garden bought combine ticket flower dome cloud forestxd feel slightly like disney attraction set route everyone walk although go fairly early imagine busy time could get crowd
573017233,2018-04-13 00:00:00.000,4,An Experience not to be missed,"Since Night Safari is the first night â€œzooâ€, itâ€™s quite an experience. The highlight of the whole trip to me is the â€œCreatures of the Nightâ€ show. Best to go when the park opens. More time to explore the park & get to see more animals.",2018-04-01 00:00:00.000,Family,2020-01-30 14:53:55.591,salihamidzic,Indonesia,Night Safari,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",since night safari first night azooa itatms quite experience highlight whole trip acreatures nighta show best go park open time explore park get see animal
364068169,2016-04-14 00:00:00.000,4,Fun way to get to Sentosa !,Travelled early morning to Sentosa and then transferred to the island cable car to visit the beaches and the enormous Merlion. Fantastic views of the city and the port with dozens of ships anchored off shore. Very helpful and friendly staff. Good value for money if you buy a combined ticket.,2016-04-01 00:00:00.000,Couples,2020-01-29 19:17:49.524,clara c,United Kingdom,Singapore Cable Car,Leisure & Recreation,"109 Mount Faber Road Faber Peak, Singapore 099203, Singapore",travel early morning sentosa transfer island cable car visit beach enormous merlion fantastic view city port dozen ship anchor shore helpful friendly staff good value money buy combine ticket
411307868,2016-08-27 00:00:00.000,4,Orchard tower// night clubs//pubs,"Well if you are looking for a night life in singapore then orchard tower is a must for you._x000D_
Tower host many clubs including tattoo shop, massage parlour and other stuff._x000D_
I personally like Ipanama club on 2 nd floor. They have live band performances. Awesome crowd but bit expensive drinks._x000D_
If you not interested in clubs then you can also hang around outside of orchard tower. There is this irish pub, muddys and harry's pub. All of them are awesome and food is good too._x000D_
Hope this helps for the 1st timers going to singapore._x000D_
Cheerz!!!!",2016-08-01 00:00:00.000,Solo,2020-01-30 03:21:38.169,singhankur,Vietnam,Orchard Road,Precinct & Street,"Singapore, Singapore",well look night life singapore orchard tower must youxd tower host many club include tattoo shop massage parlour stuffxd personally like ipanama club nd floor live band performance awesome crowd bit expensive drinksxd not interested club also hang around outside orchard tower irish pub muddys harrys pub awesome food good tooxd hope help st timer go singaporexd cheerz
