Unnamed: 0,REVIEW_INDEX,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME,REVIEWER_NAME,HOME_COUNTRY,ATTRACTION_NAME,ATTRACTION_TYPE,ADDRESS,clean_text,Topic
63556,600227459,2018-07-27 00:00:00.000,5,Must see!,"Marina Bay Sands is an absolutely must-see! It's like an Eiffel tower of Singapore, so especial, iconic building! There are lots of many sights surrounds it, for example Art Science museum, Gardens by the bay, and you can take a very long walk around it. It will be a breathtaking experience, I guarantee it!",2018-07-01 00:00:00.000,Couples,2020-01-29 23:07:00.127,DÃƒÂ³ra S,Hungary,Marina Bay,Precinct & Street,"Marina Boulevard, Singapore 018980, Singapore",marina bay sand absolutely must see like eiffel tower singapore especial iconic building lot many sight surround example art science museum garden bay take long walk around breathtaking experience guarantee,Nightlife
76553,688384497,2019-07-10 00:00:00.000,3,Constructive Feedback,"I visited Singapore Zoo many times quite a few years back. But during this year visit to send my relative there, I am quite disappointed. We found many attractions are closed, and animal shows are lower standard compared to old times. Show Venue are also don't improve with enough ventilation. When other attractions in Singapore are upgraded and new, I think Singapore Zoo really need to do the catch up game to gather more local & tourists.",2019-05-01 00:00:00.000,Family,2020-01-26 11:31:17.371,davidpai04,Singapore,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",visit singapore zoo many time quite year back year visit send relative quite disappointed found many attraction close animal show low standard compare old time show venue also not improve enough ventilation attraction singapore upgraded new think singapore zoo really need catch game gather local tourist,Interaction with Animals
18582,569981219,2018-04-01 00:00:00.000,5,A must see!,Free attraction. Easy to get to by MRT. Beautiful garden and wildlife. Could spend many hours here. Be sure to see the tortoises and lily pads by the pond!,2018-03-01 00:00:00.000,Friends,2020-01-26 11:16:47.553,kcr26,United Kingdom,Singapore Botanic Gardens,Leisure & Recreation,"1 Cluny Road, Singapore 259 569, Singapore",free attraction easy get mrt beautiful garden wildlife could spend many hour sure see tortoise lily pad pond,Garden Tour
42523,436048380,2016-11-10 00:00:00.000,5,Excellent gardens of every variety around the world .Great place to visit.,"The gardens are easy to get to via the MRT and as they are air conditioned, controlled due to plant types ,it is also a great way the spend some time out of the heat and the plant s are splendid.",2016-11-01 00:00:00.000,Couples,2020-01-25 18:26:27.167,thebear1232016,Australia,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",garden easy get via mrt air condition control due plant type also great way spend time heat plant splendid,Garden Tour
22456,551295080,2018-01-04 00:00:00.000,5,Very impressive,"Even without being interested in architecture, this is impressive. Go there when it's dark. Eat at the hawkers market close by, cheap and authentic eats.",2017-12-01 00:00:00.000,Family,2020-01-25 15:13:10.581,Sarah M,Denmark,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",even without interested architecture impressive go dark eat hawker market close cheap authentic eats,Garden Tour
29737,502038020,2017-07-15 00:00:00.000,5,Is this real life?,"When I visited this park, I thought to myself, Am I in the earth I'm used to live in? This attraction takes the cake!",2017-07-01 00:00:00.000,Family,2020-01-29 18:10:49.414,SpencerFinn,Philippines,Supertree Grove,Leisure & Recreation,"18 Marina Gardens Drive Gardens By the Bay | Gardens by the Bay, Singapore 018953, Singapore",visit park thought earth use live attraction take cake,Garden Tour
95539,549183829,2017-12-26 00:00:00.000,5,Impressive to see,Be sure you are respectfully dressed (they will lend you a shawl) and act appropriately when you visit here. Very interesting to visit.,2017-11-01 00:00:00.000,Couples,2020-01-30 00:07:02.555,Saranger,United States,Buddha Tooth Relic Temple and Museum,"Art, History & Culture","288 South Bridge Road, Singapore 058840, Singapore",sure respectfully dress lend shawl act appropriately visit interest visit,Artwork Quality
7841,646570763,2019-01-17 00:00:00.000,4,Morning walk in Botanic Gardens,"Very pleasant walk, with fresh air n lots of greenery. Vibrant too, with joggers, brisk walking, walking dogs, and even groups doing yoga, tai chi and other forms of group exercise.",2018-11-01 00:00:00.000,Friends,2020-01-26 11:13:41.370,EL L,Singapore,Singapore Botanic Gardens,Leisure & Recreation,"1 Cluny Road, Singapore 259 569, Singapore",pleasant walk fresh air n lot greenery vibrant jogger brisk walk walk dog even group yoga tai chi form group exercise,Garden Tour
98112,474055253,2017-04-10 00:00:00.000,5,A trademark of Singapore,"You have not visit Singapore if you have not visit Merlion Park and take the picture in the Merlion Statue. This is very popular place. You can going here by bus, taxi, MRT or other transportation. By MRT you can turn down in Raflles interchange then walking. You can take a picture with some phoses mainstream either non mainstream. You can take picture as like drink from the water that come out from the merlion. Here, you can enjoy to walk and also sitting and enjoy eating because so many bar and restourant here with view singapore river and Marina bay sands.",2017-04-01 00:00:00.000,Solo,2020-01-30 02:07:22.145,adipurwa1974,Indonesia,Merlion Park,"Art, History & Culture","1 Fullerton Road One Fullerton | Merlion Park, Singapore 049213, Singapore",not visit singapore not visit merlion park take picture merlion statue popular place go bus taxi mrt transportation mrt turn raflles interchange walk take picture phoses mainstream either non mainstream take picture like drink water come merlion enjoy walk also sit enjoy eat many bar restourant view singapore river marina bay sand,Artwork Quality
5810,659860537,2019-03-20 00:00:00.000,5,Wow!,Truly amazing. A beautiful garden. Well worth the 5$ entrance fee (1$ for OAPs). A great escape from the hectic city.,2019-03-01 00:00:00.000,Family,2020-01-29 10:26:51.276,Alan S,United Kingdom,National Orchid Garden,Leisure & Recreation,"1 Cluny Rd | Within the Singapore Botanic Gardens, Singapore 259569, Singapore",truly amaze beautiful garden well worth entrance fee oaps great escape hectic city,Garden Tour
67227,514112879,2017-08-17 00:00:00.000,4,good area to stayput,"Great for shopping eating out, partying, night out. Very close to prominent places like clark qay. Easy moving around by public transport",2017-07-01 00:00:00.000,Business,2020-01-30 03:26:15.959,abhi19b,India,Orchard Road,Precinct & Street,"Singapore, Singapore",great shopping eat party night close prominent place like clark qay easy move around public transport,Nightlife
85745,450871354,2017-01-10 00:00:00.000,5,A great rainforest jungle feel,"A very interestingly architectured zoo having great potential to attract all ages, plan to attend all the shows there as they are worth the experience, buy tickets online for a cheaper deal.",2017-01-01 00:00:00.000,Family,2020-01-26 12:10:06.450,MQK101183,United Arab Emirates,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",interestingly architectured zoo great potential attract age plan attend show worth experience buy ticket online cheaper deal,Interaction with Animals
66423,537489763,2017-11-01 00:00:00.000,3,Very average,"Like any other big city, this is a long road full of brands and shopping malls. Nothing special. We didn't shop . We walked the road to check out the glitz and glamour",2017-11-01 00:00:00.000,Couples,2020-01-30 02:54:47.537,juhiking,Australia,Orchard Road,Precinct & Street,"Singapore, Singapore",like big city long road full brand shopping mall nothing special not shop walk road check glitz glamour,Shopping and Restaurant
72010,411371697,2016-08-27 00:00:00.000,3,Could be so much more,"The main drag between mosque street and smith street is terrible - I'm not sure when the Singapore Tourism Authority decided cheesy souvenirs and beer were the best ways to draw in the tourists._x000D_
_x000D_
The fact that the cheesy souvenir shops are jam packed side to side and take up a significant part of the street means that you cannot really appreciate the architecture of the shophouses that were expensively restored some time back. A real shame._x000D_
_x000D_
If you look hard enough, there are still a few authentic shops worth visiting. Tai Tong on Mosque Street is an old fashioned Chinese bakery specialising in moon cakes - lotus seed paste and salted egg yoke baked in a soft brown pastry flavoured and coloured with molasses. August and September is moon cake season in Singapore._x000D_
_x000D_
Other places worth checking out:_x000D_
_x000D_
- the Buddhist temple at Sago Lane_x000D_
- Sri Mariamman (Hindu) temple between temple and pagoda streets_x000D_
- Tong Heng pastries on south bridge road (good egg tarts and other traditional Chinese desserts)_x000D_
- Lim Chee Guan for excellent barbecued pork jerky; queues are snaking during the Chinese New Year_x000D_
- Chinatown complex - if you want to visit an authentic food court and wet market in Singapore (a wet market is where fresh produce - vests led, fruit, meat and fish) are sold",2016-08-01 00:00:00.000,Couples,2020-01-30 12:25:09.540,lchan289,Singapore,Chinatown,Precinct & Street,"Crot | Trengganu, Singapore 048942, Singapore",main drag mosque street smith street terrible not sure singapore tourism authority decide cheesy souvenir beer best way draw touristsxd xd fact cheesy souvenir shop jam packed side side take significant part street mean can not really appreciate architecture shophouses expensively restore time back real shamexd xd look hard enough still authentic shop worth visit tai tong mosque street old fashion chinese bakery specialise moon cake lotus seed paste salt egg yoke bake soft brown pastry flavour colour molasses august september moon cake season singaporexd xd place worth check outxd xd buddhist temple sago lanexd sri mariamman hindu temple temple pagoda streetsxd tong heng pastry south bridge road good egg tart traditional chinese dessert xd lim chee guan excellent barbecue pork jerky queue snake chinese new yearxd chinatown complex want visit authentic food court wet market singapore wet market fresh produce vest lead fruit meat fish sell,Shopping and Restaurant
62829,623372810,2018-10-09 00:00:00.000,5,"Don't forget to try the ""not $1 anymore"" ice cream",Being here on our first day of visit. The whole road filled with malls and shopping centre. Just take your time to walk along the road. And don't forget to try the famous $1 ice cream that will cost you $1.2 currently.,2018-10-01 00:00:00.000,Couples,2020-01-30 02:47:52.396,michaelsV2777VA,Indonesia,Orchard Road,Precinct & Street,"Singapore, Singapore",first day visit whole road fill mall shopping centre take time walk along road not forget try famous ice cream cost currently,Shopping and Restaurant
13161,606776743,2018-08-15 00:00:00.000,5,One of the best places to visit and relax in Singapore,"The Singapore Botanic Gardens is a 158-year-old tropical garden. It is one of three gardens, and the only tropical garden, to be honoured as a UNESCO World Heritage Site. More than 10,000 species of flora is spread over its 82-hectares area._x000D_
_x000D_
We spent close to 3 Hours walking around this Park. The Mini Rain Forest was a highlight.",2018-08-01 00:00:00.000,Friends,2020-01-26 11:15:17.702,pnakkeeran,India,Singapore Botanic Gardens,Leisure & Recreation,"1 Cluny Road, Singapore 259 569, Singapore",singapore botanic garden year old tropical garden one three garden tropical garden honour unesco world heritage site specie flora spread hectare areaxd xd spent close hour walk around park mini rain forest highlight,Garden Tour
87012,421395901,2016-09-23 00:00:00.000,5,Great for a long jog!,"Visited here with a girlfriend for a run / jog and to see some monkeys (apparently they can often be spotted here!)_x000D_
The great thing about this place is that there are several routes to run / jog or walk ranging from under 5k to around 11-12k and all are well signposted._x000D_
The trails / footpaths are all well maintained although can be quite steep and certainly not suitable for disabled / wheelchair users._x000D_
It was great to see so many people enjoying this place, just keeping fit & enjoying being outside._x000D_
We jogged & walked our way around & also took in the walkway over the valley which is where we spotted the monkey! (Another great photo opportunity)_x000D_
By the time we returned to the car having covered just over 11k we were dripping wet due to the humidity & exercise._x000D_
Loved this attraction me will return!",2016-09-01 00:00:00.000,Friends,2020-01-29 23:53:08.401,Morag H,Cyprus,MacRitchie Nature Trail,Nature & Wildlife,"MacRitchie Reservoir Park, Singapore 298717, Singapore",visit girlfriend run jog see monkey apparently often spot xd great thing place several route run jog walk range k around k well signpostedxd trail footpath well maintain although quite steep certainly not suitable disabled wheelchair usersxd great see many people enjoy place keep fit enjoy outsidexd jogged walk way around also take walkway valley spot monkey another great photo opportunity xd time return car cover k drip wet due humidity exercisexd love attraction return,Interaction with Animals
82524,537427912,2017-10-31 00:00:00.000,4,Good tourist & education destination.,"Good place to take your toddler to learn about the animals around each region of rivers. You can walk along indoor pathways. The panda restaurant serve the good taste of food & snack and good place to take a break. Panda zone is good and make the trip is more variable. The only disappointed was the river cruise activity, only 15 minutes cruise and nothing to see, only giraffes.",2017-10-01 00:00:00.000,Family,2020-01-30 03:50:03.024,Yeepoon,Thailand,River Safari,Nature & Wildlife,"80 Mandai Lake Road Singapore Zoological Gardens, Singapore 729826, Singapore",good place take toddler learn animal around region river walk along indoor pathway panda restaurant serve good taste food snack good place take break panda zone good make trip variable disappointed river cruise activity minute cruise nothing see giraffe,Interaction with Animals
102171,372016339,2016-05-11 00:00:00.000,5,Great views,"A must to visit, beautiful views, and a photo with the Merlin has to be done, so do not miss this must see tourist spot.",2016-05-01 00:00:00.000,Couples,2020-01-30 02:01:13.586,TaiWong,United Kingdom,Merlion Park,"Art, History & Culture","1 Fullerton Road One Fullerton | Merlion Park, Singapore 049213, Singapore",must visit beautiful view photo merlin do not miss must see tourist spot,Artwork Quality
9924,632309500,2018-11-10 00:00:00.000,5,Beautiful Place To Walk,"The Waterfront Promenade is a lovely place to stroll at any time of the day, but at night, with colourful lights twinkling from the buildings all around the view is mesmerising._x000D_
_x000D_
Often there are free shows at an open-air stage overlooking the water and at 8.00pm, 9.00pm and 10.00pm the Marina Bay Sands Hotel puts on a free light and sound show that is well worth a look.",2018-11-01 00:00:00.000,Couples,2020-01-30 06:25:58.404,Iain H,United Kingdom,Waterfront Promenade,Leisure & Recreation,"Singapore, Singapore",waterfront promenade lovely place stroll time day night colourful light twinkle building around view mesmerisingxd xd often free show open air stage overlook water pm pm pm marina bay sand hotel put free light sound show well worth look,Garden Tour
79984,589458626,2018-06-21 00:00:00.000,1,Pathetic,"Thundra pathetic._x000D_
Only 1 white tiger._x000D_
1sun bear_x000D_
1 Puma._x000D_
_x000D_
I visited the zoo about ten years ago and really enjoyed it than. Don't think I'll recommend it to any one ever again._x000D_
It's unbelievable that family who bring their own sandwiches are not allowed to consume it at the foodcourt although we purchased drinks but you allow people who are hogging the seats with no food to sit there.",2018-06-01 00:00:00.000,Family,2020-01-26 11:46:20.527,juanpillai,Singapore,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",thundra patheticxd white tigerxd sun bearxd pumaxd xd visit zoo ten year ago really enjoy dont think recommend one ever againxd unbelievable family bring sandwich not allow consume foodcourt although purchase drink allow people hog seat food sit,Interaction with Animals
11000,623921217,2018-10-11 00:00:00.000,5,Curious place,"Build around 100 year ago by the family that invented the Tiger Balm. Must have been truly impressive back then. A nice gesture from the family to convey the legends and tales to the people that might not be able to read at that time. Hence, one can learn a lot about those legends by watching the scenes of colorful sculptures.",2018-10-01 00:00:00.000,Friends,2020-01-30 09:30:49.715,Ksksksksks,Lithuania,Haw Par Villa,Leisure & Recreation,"262 Pasir Panjang Road Haw Par Villa | 1-min walk from Haw Par Villa MRT Station, Singapore 118628, Singapore",build around year ago family invent tiger balm must truly impressive back nice gesture family convey legend tale people might not able read time hence one learn lot legend watch scene colorful sculpture,Garden Tour
